日期,指数名称,指数代码,PE,PE百分位,PB,PB百分位,股息率,ROE
2025-09-28,国证地产,SZ399393,0,0,0.9315,0.2648,0.0108,0
2025-09-28,养老产业,SZ399812,14.8778,0.0684,2.1576,0.2184,0.0223,0.145
2025-09-28,中证白酒,SZ399997,18.653,0.0588,5.1567,0.2172,0.0384,0.2765
2025-09-28,消费红利,CSIH30094,19.1345,0.0436,4.3979,0.2352,0.0383,0.2298
2025-09-28,主要消费,SH000932,19.1514,0.018,4.3314,0.2372,0.0336,0.2262
2025-09-28,国证食品,SZ399396,20.8955,0.0588,4.4713,0.1628,0.035,0.214
2025-09-28,证券公司,SZ399975,19.6312,0.2988,1.5233,0.4068,0.0137,0.0776
2025-09-28,中国互联,CSIH11136,19.9349,0.1552,3.2863,0.3688,0.0088,0.1649
2025-09-28,中概互联50,CSIH30533,20.7091,0.1648,3.3932,0.37,0.0081,0.1639
2025-09-28,全指可选,SH000989,22.7293,0.2928,2.6239,0.5224,0.0223,0.1154
2025-09-28,中证医疗,SZ399989,35.5883,0.3676,3.8552,0.1396,0.0141,0.1083
2025-09-28,医药100,SH000978,36.576,0.6524,3.542,0.2364,0.0155,0.0968
2025-09-28,全指医药,SH000991,37.2955,0.5804,3.5412,0.294,0.0155,0.0949
2025-09-28,中证银行,SZ399986,6.8316,0.8288,0.6724,0.3596,0.0425,0.0984
2025-09-28,标普价值,SPACEVCP,6.9983,0.6464,0.7715,0.6236,0.0443,0.1102
2025-09-28,上证红利,SH000015,7.55,0.6488,0.7304,0.3836,0.0454,0.0967
2025-09-28,红利低波,CSIH30269,7.8453,0.7308,0.7946,0.4728,0.0452,0.1013
2025-09-28,中证红利,SH000922,7.8535,0.5652,0.7609,0.3164,0.0463,0.0969
2025-09-28,标普红利,CSPSADRP,8.1254,0.8552,0.8965,0.5452,0.0471,0.1103
2025-09-28,红利成长LV,CSI931157,8.2158,0.6935,0.8265,0.4312,0.0485,0.1006
2025-09-28,300价值,SH000919,8.7877,0.6704,0.9007,0.3412,0.0404,0.1025
2025-09-28,300红利LV,CSI930740,8.8007,0.7528,0.8876,0.444,0.0418,0.1009
2025-09-28,央视50,SZ399550,9.85,0.7548,1.0272,0.2168,0.0377,0.1043
2025-09-28,基本面50,SH000925,9.9548,0.7804,1.0269,0.4016,0.0375,0.1032
2025-09-28,香港大盘,HSFML25,10.2407,0.8036,1.0468,0.5896,0.0267,0.1022
2025-09-28,50AH优选,SH000170,10.6157,0.7984,1.1246,0.5717,0.0333,0.1059
2025-09-28,国企指数,HKHSCEI,10.6269,0.8964,1.0862,0.806,0.0262,0.1022
2025-09-28,上证50,SH000016,11.6757,0.8652,1.2666,0.6348,0.0328,0.1085
2025-09-28,恒生指数,HKHSI,11.8358,0.7824,1.21,0.8076,0.03,0.1022
2025-09-28,上证180,SH000010,11.9895,0.7972,1.238,0.4332,0.0293,0.1033
2025-09-28,沪深300,SH000300,14.0419,0.8168,1.459,0.4928,0.0259,0.1039
2025-09-28,中证煤炭,SZ399998,14.4903,0.7612,1.5186,0.762,0.0529,0.1048
2025-09-28,MSCI中国,CSI716567,14.5191,0.8173,1.4838,0.5989,0.0248,0.1022
2025-09-28,深证红利,SZ399324,15.2027,0.3972,2.471,0.8156,0.0398,0.1625
2025-09-28,标普质量,SPCQVCP,15.6419,0.424,2.777,0.3848,0.0208,0.1775
2025-09-28,东证竞争,CSI931142,15.8867,0.8516,2.4852,0.878,0.0262,0.1564
2025-09-28,中证100,SH000903,16.3931,0.9984,1.7662,0.9572,0.0264,0.1077
2025-09-28,德国DAX,GDAXI,19.0241,0.6396,2.0104,0.9712,0.0244,0.1057
2025-09-28,香港中小,SPHCMSHP,19.2826,0.9982,1.4796,0.7643,0.0256,0.0767
2025-09-28,国证A指,SZ399317,21.529,0.9248,1.7863,0.5372,0.0186,0.083
2025-09-28,基本面60,SZ399701,21.8564,0.7996,2.1798,0.504,0.0245,0.0997
2025-09-28,500低波,CSI930782,22.3245,0.6979,1.6782,0.7461,0.0201,0.0752
2025-09-28,基本面120,SZ399702,22.6667,0.8644,2.2258,0.5384,0.0229,0.0982
2025-09-28,恒生科技,HKHSTECH,23.689,0.3328,3.4678,0.7331,0.0088,0.1464
2025-09-28,深证100,SZ399330,25.4839,0.7896,2.9051,0.5312,0.0189,0.114
2025-09-28,新经济,HKHSSCNE,25.7648,0.6014,3.8873,0.8529,0.0086,0.1509
