date,net_value
2025-10-10,1.339
2025-10-09,1.391
2025-09-30,1.372
2025-09-29,1.324
2025-09-26,1.258
2025-09-25,1.265
2025-09-24,1.255
2025-09-23,1.21
2025-09-22,1.211
2025-09-19,1.2
2025-09-18,1.199
2025-09-17,1.215
2025-09-16,1.198
2025-09-15,1.199
2025-09-12,1.169
2025-09-11,1.175
2025-09-10,1.148
2025-09-09,1.168
2025-09-08,1.18
2025-09-05,1.147
2025-09-04,1.061
2025-09-03,1.07
2025-09-02,1.066
2025-09-01,1.074
2025-08-29,1.054
2025-08-28,1.012
2025-08-27,1.006
2025-08-26,1.019
2025-08-25,1.016
2025-08-22,1.004
2025-08-21,0.978
2025-08-20,0.98
2025-08-19,0.966
2025-08-18,0.971
2025-08-15,0.965
2025-08-14,0.937
2025-08-13,0.953
2025-08-12,0.948
2025-08-11,0.948
2025-08-08,0.918
2025-08-07,0.919
2025-08-06,0.922
2025-08-05,0.916
2025-08-04,0.91
2025-08-01,0.907
2025-07-31,0.911
2025-07-30,0.934
2025-07-29,0.949
2025-07-28,0.942
2025-07-25,0.942
2025-07-24,0.94
2025-07-23,0.92
2025-07-22,0.924
2025-07-21,0.913
2025-07-18,0.904
2025-07-17,0.901
2025-07-16,0.894
2025-07-15,0.893
2025-07-14,0.902
2025-07-11,0.907
2025-07-10,0.903
2025-07-09,0.904
2025-07-08,0.906
2025-07-07,0.896
2025-07-04,0.898
2025-07-03,0.909
2025-07-02,0.9
2025-07-01,0.911
2025-06-30,0.917
2025-06-27,0.914
2025-06-26,0.915
2025-06-25,0.924
2025-06-24,0.91
2025-06-23,0.885
2025-06-20,0.876
2025-06-19,0.881
2025-06-18,0.889
2025-06-17,0.887
2025-06-16,0.883
2025-06-13,0.889
2025-06-12,0.899
2025-06-11,0.898
2025-06-10,0.89
2025-06-09,0.897
2025-06-06,0.899
2025-06-05,0.899
2025-06-04,0.895
2025-06-03,0.888
2025-05-30,0.886
2025-05-29,0.897
2025-05-28,0.888
2025-05-27,0.89
2025-05-26,0.896
2025-05-23,0.906
2025-05-22,0.912
2025-05-21,0.921
2025-05-20,0.916
2025-05-19,0.912
2025-05-16,0.909
2025-05-15,0.904
2025-05-14,0.915
2025-05-13,0.91
2025-05-12,0.913
2025-05-09,0.898
2025-05-08,0.903
2025-05-07,0.899
2025-05-06,0.898
2025-04-30,0.881
2025-04-29,0.873
2025-04-28,0.872
2025-04-25,0.882
2025-04-24,0.884
2025-04-23,0.884
2025-04-22,0.876
2025-04-21,0.88
2025-04-18,0.866
2025-04-17,0.863
2025-04-16,0.862
2025-04-15,0.871
2025-04-14,0.874
2025-04-11,0.869
2025-04-10,0.849
2025-04-09,0.831
2025-04-08,0.828
2025-04-07,0.825
2025-04-03,0.919
2025-04-02,0.937
2025-04-01,0.932
2025-03-31,0.934
2025-03-28,0.944
2025-03-27,0.947
2025-03-26,0.948
2025-03-25,0.954
2025-03-24,0.955
2025-03-21,0.95
2025-03-20,0.972
2025-03-19,0.97
2025-03-18,0.969
2025-03-17,0.968
2025-03-14,0.973
2025-03-13,0.959
2025-03-12,0.962
2025-03-11,0.966
2025-03-10,0.97
2025-03-07,0.967
2025-03-06,0.973
2025-03-05,0.964
2025-03-04,0.967
2025-03-03,0.977
2025-02-28,0.956
2025-02-27,0.981
2025-02-26,0.976
2025-02-25,0.963
2025-02-24,0.966
2025-02-21,0.965
2025-02-20,0.945
2025-02-19,0.953
2025-02-18,0.93
2025-02-17,0.93
2025-02-14,0.936
2025-02-13,0.93
2025-02-12,0.941
2025-02-11,0.925
2025-02-10,0.923
2025-02-07,0.926
2025-02-06,0.912
2025-02-05,0.88
2025-01-27,0.878
2025-01-24,0.886
2025-01-23,0.876
2025-01-22,0.881
2025-01-21,0.891
2025-01-20,0.891
2025-01-17,0.878
2025-01-16,0.869
2025-01-15,0.867
2025-01-14,0.881
2025-01-13,0.851
2025-01-10,0.853
2025-01-09,0.856
2025-01-08,0.848
2025-01-07,0.849
2025-01-06,0.842
2025-01-03,0.844
2025-01-02,0.86
