code,rose(3y),rank(3y),rank_r(3y),name,rose(2y),rank(2y),rank_r(2y),rose(1y),rank(1y),rank_r(1y),rose(6m),rank(6m),rank_r(6m),rose(3m),rank(3m),rank_r(3m),类型
000017,69.24,598.0,0.1196,财通可持续混合C,69.24,598.0,0.1196,69.24,598,0.1196,69.24,598,0.1196,69.24,598,0.1196,混合型
000270,67.21,667.0,0.1334,建信灵活配置混合AC,67.21,667.0,0.1334,67.21,667,0.1334,67.21,667,0.1334,67.21,667,0.1334,混合型
000354,111.14,35.0,0.007,长盛城镇化主题混合AC,111.14,35.0,0.007,111.14,35,0.007,111.14,35,0.007,111.14,35,0.007,混合型
000390,80.28,302.0,0.0604,华商优势行业混合AC,80.28,302.0,0.0604,80.28,302,0.0604,80.28,302,0.0604,80.28,302,0.0604,混合型
000404,71.53,516.0,0.1032,易方达新兴成长灵活配置C,71.53,516.0,0.1032,71.53,516,0.1032,71.53,516,0.1032,71.53,516,0.1032,未知
000411,66.65,681.0,0.1362,景顺长城优质成长股票AC,66.65,681.0,0.1362,66.65,681,0.1362,66.65,681,0.1362,66.65,681,0.1362,股票型
000457,59.38,1080.0,0.216,摩根核心成长股票AC,59.38,1080.0,0.216,59.38,1080,0.216,59.38,1080,0.216,59.38,1080,0.216,股票型
000531,92.81,128.0,0.0256,东吴阿尔法灵活配置混合AC,92.81,128.0,0.0256,92.81,128,0.0256,92.81,128,0.0256,92.81,128,0.0256,混合型
000534,65.67,730.0,0.146,长盛高端装备混合AC,65.67,730.0,0.146,65.67,730,0.146,65.67,730,0.146,65.67,730,0.146,混合型
000541,58.81,1115.0,0.223,华商创新成长混合发起式AC,58.81,1115.0,0.223,58.81,1115,0.223,58.81,1115,0.223,58.81,1115,0.223,混合型
000598,59.23,1088.0,0.2176,长盛生态环境混合C,59.23,1088.0,0.2176,59.23,1088,0.2176,59.23,1088,0.2176,59.23,1088,0.2176,混合型
000649,88.34,178.0,0.0356,长城久鑫混合AC,88.34,178.0,0.0356,88.34,178,0.0356,88.34,178,0.0356,88.34,178,0.0356,混合型
000688,70.0,570.0,0.114,景顺长城研究精选股票AC,70.0,570.0,0.114,70.0,570,0.114,70.0,570,0.114,70.0,570,0.114,股票型
000697,73.45,460.0,0.092,汇添富移动互联股票AC,73.45,460.0,0.092,73.45,460,0.092,73.45,460,0.092,73.45,460,0.092,股票型
000698,91.92,138.0,0.0276,宝盈科技30混合C,91.92,138.0,0.0276,91.92,138,0.0276,91.92,138,0.0276,91.92,138,0.0276,混合型
000714,110.56,36.0,0.0072,诺安稳健回报混合AC,110.56,36.0,0.0072,110.56,36,0.0072,110.56,36,0.0072,110.56,36,0.0072,混合型
000828,78.45,340.0,0.068,宏利转型机遇股票AC,78.45,340.0,0.068,78.45,340,0.068,78.45,340,0.068,78.45,340,0.068,股票型
000940,97.65,94.0,0.0188,富国中小盘精选混合AC,97.65,94.0,0.0188,97.65,94,0.0188,97.65,94,0.0188,97.65,94,0.0188,混合型
000969,92.4,133.0,0.0266,前海开源大安全混合C,92.4,133.0,0.0266,92.4,133,0.0266,92.4,133,0.0266,92.4,133,0.0266,混合型
001018,62.85,869.0,0.1738,易方达新经济混合C,62.85,869.0,0.1738,62.85,869,0.1738,62.85,869,0.1738,62.85,869,0.1738,混合型
001037,64.2,802.0,0.1604,国投瑞银锐意改革混合AC,64.2,802.0,0.1604,64.2,802,0.1604,64.2,802,0.1604,64.2,802,0.1604,混合型
001040,85.25,233.0,0.0466,新华策略精选股票AC,85.25,233.0,0.0466,85.25,233,0.0466,85.25,233,0.0466,85.25,233,0.0466,股票型
001048,87.46,193.0,0.0386,富国新兴产业股票AC,87.46,193.0,0.0386,87.46,193,0.0386,87.46,193,0.0386,87.46,193,0.0386,股票型
001075,103.98,58.0,0.0116,宝盈转型动力混合AC,103.98,58.0,0.0116,103.98,58,0.0116,103.98,58,0.0116,103.98,58,0.0116,混合型
001076,78.01,347.0,0.0694,易方达改革红利混合C,78.01,347.0,0.0694,78.01,347,0.0694,78.01,347,0.0694,78.01,347,0.0694,混合型
001105,81.07,288.0,0.0576,信澳转型创新股票AC,81.07,288.0,0.0576,81.07,288,0.0576,81.07,288,0.0576,81.07,288,0.0576,股票型
001125,64.37,796.0,0.1592,博时互联网主题灵活配置混合C,64.37,796.0,0.1592,64.37,796,0.1592,64.37,796,0.1592,64.37,796,0.1592,混合型
001167,65.86,724.0,0.1448,金鹰科技创新股票AC,65.86,724.0,0.1448,65.86,724,0.1448,65.86,724,0.1448,65.86,724,0.1448,股票型
001170,76.9,367.0,0.0734,宏利复兴混合AC,76.9,367.0,0.0734,76.9,367,0.0734,76.9,367,0.0734,76.9,367,0.0734,混合型
001173,60.76,1002.0,0.2004,中欧瑾和灵活配置混合AC,60.76,1002.0,0.2004,60.76,1002,0.2004,60.76,1002,0.2004,60.76,1002,0.2004,混合型
001174,59.48,1071.0,0.2142,中欧瑾和灵活配置混合CC,59.48,1071.0,0.2142,59.48,1071,0.2142,59.48,1071,0.2142,59.48,1071,0.2142,混合型
001184,79.7,314.0,0.0628,易方达新常态灵活配置混合C,79.7,314.0,0.0628,79.7,314,0.0628,79.7,314,0.0628,79.7,314,0.0628,混合型
001194,125.98,24.0,0.0048,景顺长城稳健回报混合AC,125.98,24.0,0.0048,125.98,24,0.0048,125.98,24,0.0048,125.98,24,0.0048,混合型
001198,71.89,507.0,0.1014,东方惠新灵活配置混合AC,71.89,507.0,0.1014,71.89,507,0.1014,71.89,507,0.1014,71.89,507,0.1014,混合型
001215,74.41,431.0,0.0862,博时沪港深优质企业基金AC,74.41,431.0,0.0862,74.41,431,0.0862,74.41,431,0.0862,74.41,431,0.0862,未知
001227,60.48,1019.0,0.2038,中邮信息产业灵活配置混合AC,60.48,1019.0,0.2038,60.48,1019,0.2038,60.48,1019,0.2038,60.48,1019,0.2038,混合型
001229,59.89,1051.0,0.2102,德邦福鑫灵活配置混合AC,59.89,1051.0,0.2102,59.89,1051,0.2102,59.89,1051,0.2102,59.89,1051,0.2102,混合型
001230,69.27,595.0,0.119,鹏华医药科技股票AC,69.27,595.0,0.119,69.27,595,0.119,69.27,595,0.119,69.27,595,0.119,股票型
001239,77.49,358.0,0.0716,长盛国企改革混合C,77.49,358.0,0.0716,77.49,358,0.0716,77.49,358,0.0716,77.49,358,0.0716,混合型
001302,79.36,322.0,0.0644,前海开源金银珠宝混合AC,79.36,322.0,0.0644,79.36,322,0.0644,79.36,322,0.0644,79.36,322,0.0644,混合型
001313,81.33,284.0,0.0568,摩根智慧互联股票AC,81.33,284.0,0.0568,81.33,284,0.0568,81.33,284,0.0568,81.33,284,0.0568,股票型
001322,91.12,145.0,0.029,东吴新趋势价值线混合C,91.12,145.0,0.029,91.12,145,0.029,91.12,145,0.029,91.12,145,0.029,混合型
001323,83.99,247.0,0.0494,东吴移动互联混合AC,83.99,247.0,0.0494,83.99,247,0.0494,83.99,247,0.0494,83.99,247,0.0494,混合型
001361,71.12,533.0,0.1066,景顺长城中证科技传媒通信150ETF联接AC,71.12,533.0,0.1066,71.12,533,0.1066,71.12,533,0.1066,71.12,533,0.1066,未知
001407,125.53,25.0,0.005,景顺长城稳健回报混合CC,125.53,25.0,0.005,125.53,25,0.005,125.53,25,0.005,125.53,25,0.005,混合型
001412,143.03,9.0,0.0018,德邦鑫星价值灵活配置混合AC,143.03,9.0,0.0018,143.03,9,0.0018,143.03,9,0.0018,143.03,9,0.0018,混合型
001437,102.27,67.0,0.0134,易方达瑞享混合IC,102.27,67.0,0.0134,102.27,67,0.0134,102.27,67,0.0134,102.27,67,0.0134,混合型
001438,101.86,69.0,0.0138,易方达瑞享混合EC,101.86,69.0,0.0138,101.86,69,0.0138,101.86,69,0.0138,101.86,69,0.0138,混合型
001466,82.18,273.0,0.0546,华富永鑫灵活配置混合AC,82.18,273.0,0.0546,82.18,273,0.0546,82.18,273,0.0546,82.18,273,0.0546,混合型
001467,82.01,275.0,0.055,华富永鑫灵活配置混合CC,82.01,275.0,0.055,82.01,275,0.055,82.01,275,0.055,82.01,275,0.055,混合型
001471,65.58,736.0,0.1472,融通新能源灵活配置混合AC,65.58,736.0,0.1472,65.58,736,0.1472,65.58,736,0.1472,65.58,736,0.1472,混合型
001480,91.33,142.0,0.0284,财通成长优选混合AC,91.33,142.0,0.0284,91.33,142,0.0284,91.33,142,0.0284,91.33,142,0.0284,混合型
001496,62.27,910.0,0.182,工银聚焦30股票C,62.27,910.0,0.182,62.27,910,0.182,62.27,910,0.182,62.27,910,0.182,股票型
001513,105.79,51.0,0.0102,易方达信息产业混合AC,105.79,51.0,0.0102,105.79,51,0.0102,105.79,51,0.0102,105.79,51,0.0102,混合型
001534,82.52,265.0,0.053,华宝万物互联混合AC,82.52,265.0,0.053,82.52,265,0.053,82.52,265,0.053,82.52,265,0.053,混合型
001581,76.79,371.0,0.0742,华安沪港深通精选灵活配置混合AC,76.79,371.0,0.0742,76.79,371,0.0742,76.79,371,0.0742,76.79,371,0.0742,混合型
001613,64.04,810.0,0.162,长城久祥混合AC,64.04,810.0,0.162,64.04,810,0.162,64.04,810,0.162,64.04,810,0.162,混合型
001617,61.25,976.0,0.1952,天弘中证电子ETF联接AC,61.25,976.0,0.1952,61.25,976,0.1952,61.25,976,0.1952,61.25,976,0.1952,未知
001618,60.93,991.0,0.1982,天弘中证电子ETF联接CC,60.93,991.0,0.1982,60.93,991,0.1982,60.93,991,0.1982,60.93,991,0.1982,未知
001664,77.25,361.0,0.0722,平安鑫安混合AC,77.25,361.0,0.0722,77.25,361,0.0722,77.25,361,0.0722,77.25,361,0.0722,混合型
001665,76.54,379.0,0.0758,平安鑫安混合CC,76.54,379.0,0.0758,76.54,379,0.0758,76.54,379,0.0758,76.54,379,0.0758,混合型
001672,60.42,1027.0,0.2054,国寿安保智慧生活股票AC,60.42,1027.0,0.2054,60.42,1027,0.2054,60.42,1027,0.2054,60.42,1027,0.2054,股票型
001691,74.77,422.0,0.0844,南方香港成长灵活配置混合C,74.77,422.0,0.0844,74.77,422,0.0844,74.77,422,0.0844,74.77,422,0.0844,混合型
001694,61.68,946.0,0.1892,华安沪港深外延增长灵活配置混合AC,61.68,946.0,0.1892,61.68,946,0.1892,61.68,946,0.1892,61.68,946,0.1892,混合型
001709,65.48,743.0,0.1486,华富物联世界灵活配置混合AC,65.48,743.0,0.1486,65.48,743,0.1486,65.48,743,0.1486,65.48,743,0.1486,混合型
001712,64.12,804.0,0.1608,东方红优势精选混合C,64.12,804.0,0.1608,64.12,804,0.1608,64.12,804,0.1608,64.12,804,0.1608,混合型
